actor,avg_rating
50 Cent,2.828235294117647
Aadhi Pinisetty,3.0425
Aadhira Pandilakshmi,3.0138461538461536
Aadukalam Murugadoss,3.383157894736842
Aaidah Riyadh,3.3381249999999993
Aamir Bashir,3.3689999999999998
Aamir Khan,3.3914999999999993
Aanjjan Srivastav,3.2135483870967745
Aaron Abrams,2.944545454545455
Aaron Ashmore,2.9921052631578946
Aaron Eckhart,2.9800000000000004
Aaron Himelstein,3.0009090909090905
Aaron Kwok,3.1781818181818187
Aaron Lustig,2.9884615384615385
Aaron Monaghan,3.064
Aaron Moorhead,3.1572727272727277
Aaron Pearl,2.7972727272727274
Aaron Pedersen,3.1509090909090904
Aaron Taylor-Johnson,3.1841666666666666
Aaron Toney,3.0759999999999996
Aaron Yoo,2.816666666666667
Aasif Mandvi,2.8837500000000005
Abbas Abu Elhassan,3.33
Abbas Kiarostami,3.6930000000000005
Abbes Zahmani,3.125
Abbey Hoes,3.020588235294118
Abby Bautista,3.023076923076923
Abdelaziz Makhyoun,3.504545454545455
Abdel Moneim Ibrahim,3.538461538461539
Abdul Ayoola,2.96
Abdullah Abbas,3.4263636363636363
Abdullah Mahmoud,3.6538461538461537
Abdulraheem Hassan,3.385833333333333
Abdur Arsyad,3.1260000000000003
Abdurrahman Arif,3.3735714285714287
Abel Ferrara,3.208571428571428
Abel Folk,2.8466666666666662
Abel Jafri,3.2972727272727274
Abhay Deol,3.2323809523809515
Abhija Sivakala,3.312
Abhimanyu Singh,2.9493103448275857
Abhinav Gomatam,3.108571428571428
Abhinaya,3.154285714285714
Abhirami,3.1809090909090902
Abhiram Radhakrishnan,3.191764705882353
Abhishek Bachchan,3.029615384615385
Abhishek Banerjee,3.1915999999999998
Abigail Breslin,2.992222222222223
Abimana Aryasatya,3.147142857142857
Abir Chatterjee,3.3305
Abla Kamel,3.338125
Abrahão Farc,3.6439999999999997
Abu Salim,2.9783333333333326
Ace Mask,2.7039999999999997
Achille Brugnini,3.155714285714286
Achyuth Kumar,3.2564705882352944
Achyut Potdar,3.369473684210527
Aci Resti,3.2330000000000005
A.C. Peterson,2.929032258064515
Adam Arkin,3.363793103448275
Adam Baldwin,3.136363636363637
Adam Beach,2.9593548387096775
Adam Bousdoukos,3.354666666666667
Adam Brody,2.9464102564102563
Adam Brooks,3.274375
Adam Buxton,3.501666666666667
Adam Carolla,3.0757894736842113
Adam Clayton,3.66125
Adam Copeland,3.1633333333333327
Adam David Thompson,3.1823076923076923
Adam Deacon,2.918571428571429
Adam Ferency,3.4510526315789476
Adam Godley,3.16909090909091
Adam Goldberg,3.1664102564102565
Adam Herschman,2.636923076923077
Adam Hicks,2.626153846153846
Adam Horovitz,3.4285000000000005
Adam Huel Potter,1.9507692307692308
Adam Hurtig,2.798125
Adam James,3.2
Adam Lambert,2.931666666666666
Adam Lundgren,3.268
Adam Mucci,3.216666666666667
Adam Nelson,3.316363636363637
Adamo Dionisi,3.2908333333333335
Adam Pally,2.9272413793103453
Adam Rifkin,3.1252941176470594
Adam Rodriguez,2.9646666666666666
Adam Sandler,2.851369863013698
Adam Shapiro,3.2405555555555545
Adam Tomei,3.046923076923076
Adam Trese,3.2163636363636368
Adam West,3.211914893617021
Adam Wingard,2.9181818181818175
Adam Woronowicz,3.277727272727273
Addison Timlin,2.9021052631578947
Adeel Akhtar,3.2600000000000002
Ade Firman Hakim,3.3520000000000003
Adelaide Clemens,3.0775
Adel Bencherif,3.221875
Adèle Exarchopoulos,3.241428571428571
Adèle Haenel,3.447241379310345
Adele Jergens,3.255238095238096
Adel Emam,3.3430000000000004
Adele Mara,3.262307692307693
Aden Young,3.0799999999999996
Adewale Akinnuoye-Agbaje,2.88074074074074
Adhir Kalyan,2.647
Adhisty Zara,3.1599999999999993
Adile Naşit,3.4385294117647063
Adil Zaidi,2.8918181818181816
Adinia Wirasti,3.3222222222222224
Adithya Menon,3.01
Aditi Rao Hydari,3.0304
Aditya Pancholi,2.8009999999999997
Aditya Roy Kapur,3.0124999999999993
Aditya Srivastava,3.3141176470588243
Adivi Sesh,3.306666666666667
Adjoa Andoh,3.4046153846153846
Adolf E. Licho,3.4571428571428564
Adolfo Lastretti,3.3511111111111105
Adolf Wohlbrück,3.7724999999999995
Adolphe Menjou,3.3992105263157906
Adriana Altaras,2.8954545454545455
Adriana Asti,3.4723809523809526
Adriana Barraza,2.9853846153846155
Adriana O'Neil,2.7380000000000004
